beta,outlierRatio,repeat,seed,Ncorr,Ns,trueTLS,bestASBS_TLS,bestRandom_TLS,bestASBS_rotErrDeg,bestRandom_rotErrDeg,medianSample_rotErrDeg,fracSamplesBelow5Deg,fracSamplesBelow10Deg,activeCount,trueInliersActive,trueOutliersClipped,lossUFinal,lossHFinal,bestTrainFinal,bestTrainOverall
0.25,0.25,1,126125,1000,500,3335.47365198078,3399.69948058873,5751.18816807311,2.05414790143418,15.9510496620106,15.4373554857395,0.034,0.2,748,741,243,5470545.5,11.8071575164795,3345.9042319466,3335.12186102075
0.25,0.25,1,126125,1000,1000,3335.47365198078,3348.95232337136,4734.09878122106,0.803817339502641,10.9211408600144,15.3805640818048,0.035,0.206,752,743,241,5470545.5,11.8071575164795,3345.9042319466,3335.12186102075
0.25,0.25,1,126125,1000,2500,3335.47365198078,3348.95232337136,4425.62576379894,0.803817339502641,9.46249634203465,15.4968371596157,0.0332,0.1964,752,743,241,5470545.5,11.8071575164795,3345.9042319466,3335.12186102075
0.25,0.25,1,126125,1000,5000,3335.47365198078,3348.95232337136,3893.75466206654,0.803817339502641,6.61891789928232,15.3436015989851,0.0312,0.1952,752,743,241,5470545.5,11.8071575164795,3345.9042319466,3335.12186102075
0.25,0.25,1,126125,1000,10000,3335.47365198078,3338.84518610759,3893.75466206654,0.702337891125068,6.61891789928232,15.399148173776,0.0319,0.1996,748,739,241,5470545.5,11.8071575164795,3345.9042319466,3335.12186102075
0.5,0.25,1,126150,1000,500,3483.0062182099,3543.886812932,6608.96630406356,2.23744456812708,20.17474904633,15.1914062645488,0.04,0.226,733,725,242,19981006,11.7076349258423,3521.9500772271,3482.08712579774
0.5,0.25,1,126150,1000,1000,3483.0062182099,3537.87211304556,6373.99173644832,1.85441578807813,18.9723099683136,15.1293493777761,0.034,0.217,735,727,242,19981006,11.7076349258423,3521.9500772271,3482.08712579774
0.5,0.25,1,126150,1000,2500,3483.0062182099,3504.92718505153,5251.9709360401,1.41361298148342,12.9716015303233,15.538665844049,0.0292,0.198,734,726,242,19981006,11.7076349258423,3521.9500772271,3482.08712579774
0.5,0.25,1,126150,1000,5000,3483.0062182099,3481.37813121087,5001.53604765604,0.278338402679191,11.6690410428444,15.4399203495898,0.0312,0.1968,737,729,242,19981006,11.7076349258423,3521.9500772271,3482.08712579774
0.5,0.25,1,126150,1000,10000,3483.0062182099,3481.37813121087,4542.30307355203,0.278338402679191,9.28214514549598,15.4111300947004,0.031,0.2003,737,729,242,19981006,11.7076349258423,3521.9500772271,3482.08712579774
1,0.25,1,126200,1000,500,3413.3138402606,3431.62820153852,3944.39409520824,1.06760667708811,6.31508308007349,15.5193173849011,0.032,0.216,739,736,247,83934144,11.9042510986328,3443.89164262182,3413.04511350824
1,0.25,1,126200,1000,1000,3413.3138402606,3418.88363509961,3944.39409520824,0.670290154949316,6.31508308007349,15.3295974548757,0.037,0.209,741,739,248,83934144,11.9042510986328,3443.89164262182,3413.04511350824
1,0.25,1,126200,1000,2500,3413.3138402606,3418.88363509961,3944.39409520824,0.670290154949316,6.31508308007349,15.4847489691461,0.036,0.2032,741,739,248,83934144,11.9042510986328,3443.89164262182,3413.04511350824
1,0.25,1,126200,1000,5000,3413.3138402606,3418.88363509961,3944.39409520824,0.670290154949316,6.31508308007349,15.4415760166529,0.035,0.2048,741,739,248,83934144,11.9042510986328,3443.89164262182,3413.04511350824
1,0.25,1,126200,1000,10000,3413.3138402606,3418.88363509961,3944.39409520824,0.670290154949316,6.31508308007349,15.2117688400868,0.034,0.2078,741,739,248,83934144,11.9042510986328,3443.89164262182,3413.04511350824
2,0.25,1,126300,1000,500,3439.11406474969,3452.37415722315,7186.0931135261,1.15097152109397,28.0947717646145,15.6841724576181,0.024,0.17,734,730,246,323689920,11.8469924926758,3509.24209655093,3438.5700287207
2,0.25,1,126300,1000,1000,3439.11406474969,3452.37415722315,5414.40376054417,1.15097152109397,13.7404751241906,15.6601749654337,0.027,0.186,734,730,246,323689920,11.8469924926758,3509.24209655093,3438.5700287207
2,0.25,1,126300,1000,2500,3439.11406474969,3447.73696612012,5118.63868677419,0.841950290097527,12.0680454389971,15.347350714941,0.0288,0.1948,731,727,246,323689920,11.8469924926758,3509.24209655093,3438.5700287207
2,0.25,1,126300,1000,5000,3439.11406474969,3447.73696612012,4613.68512461281,0.841950290097527,10.1748303306823,15.4901788860135,0.03,0.1902,731,727,246,323689920,11.8469924926758,3509.24209655093,3438.5700287207
